Комментарий;НА ПЕРЕВОД;RU: русский;EN: английский;PL: польский;KZ: казахский (коррект);DE: немецкий;FR: французский;ES: испанский;IT: итальянский;BY: белорусский;UA: украинский;NL: голландский/нидерландский;KG: киргизский;UZ: узбекский;Армянский
Иглы;;;;;;;;;;;;;;;
;игла;игла;needle;ig?a;ине;Nadel;aiguille;aguja;ago;iголка;голка;;ийне;igna;
;игла для валяния;игла для валяния;felting needle;ig?a do filcowania;киіз басу?а арнал?ан ине;Filznadel;aiguille ? feutrer;aguja para batanadura;ago per saldatura;iголка для валяння;голка для валяння Gamma;;кийиз басуу ?ч?н ийне;kigiz bosadigan igna;
;иглы для валяния;иглы для валяния;felting needles;ig?y do filcowania;киіз басу?а арнал?ан инелер;Filznadeln;aiguilles ? feutrer;agujas para batanadura;aghi per saldatura;іголкі для валяння;голки для валяння;;кийиз басуу ?ч?н ийнелер;kigiz bosadigan igna;
;тонкая игла для вышивания бисером;тонкая игла для вышивания бисером;beading needle;cienka ig?a do haftowania z koralikami;майда монша?пен кестелеуге арнал?ан жі?ішке ине;d?nne Nadel f?r Glasperlen-Stickerei;aiguille fine pour la broderie avec perles de rocailles;aguja fina para bordar con abalorios;ago sottile da ricamo con perle di vetro;спецыялізаваная тонкая іголка для вышывання бісерам;спеціалізована тонка голка для вишивання бісером;;бисер сайма ?ч?н ичке ийне;biserlar bilan kashta tikish uchun nozik igna;
;тонкие иглы для вышивания бисером;тонкие иглы для вышивания бисером;beading needles;cienkie ig?y do haftowania z koralikami;майда монша?пен кестелеуге арнал?ан жі?ішке инелер;d?nne Nadeln f?r Glasperlen-Stickerei;aiguilles fines pour la broderie avec perles de rocailles;;;тонкія іголкі для вышывання бісерам;;;бисер сайма ?ч?н ичке ийнелер;biserlar bilan kashta tikish uchun nozik ignalar;
;игла для вышивания;игла для вышивания;embroidery needle;ig?a do haftowania;кестелеуге арнал?ан ине;Sticknadel f?r Mouline;aiguille ? broder par le fil moulin?;aguja de bordado con moulin?;ago da ricamo con moulin?;іголка для вышывання;голка для вишивання муліне;;сайма ийне;kashta tikish igna;
;иглы для вышивания;иглы для вышивания;embroidery needles;ig?y do haftowania;кестелеуге арнал?ан инелер;Sticknadeln f?r Mouline;aiguilles ? broder par le fil moulin?;agujas de bordado con moulin?;aghi da ricamo con moulin?;іголкі для вышывання;голки для вишивання муліне;;сайма ийнелер;kashta tikish ignalar;
;игла с широким ушком для вышивания лентами ;игла с широким ушком для вышивания лентами ;chenille needle;ig?a z szerokim uszkiem do haftowania tesiemkami;лентамен кестелеуге арнал?ан ке? к?зі ине;Nadel mit breitem Nadel?hr f?r Sticken mit B?ndern;aiguille avec un oeillet large pour la broderie au ruban;aguja de ojo grande para bordar con cintas;ago a larga cruna da ricamo con i nastri;іголка з шырокім вушкам для вышывання стужкамі;голка із широким вушком для вишивання стрічками;;Gamma ленталары менен сайма ?ч?н чо? к?з? бар ийне;Gamma lentalari bilan kashta tikish uchun katta ko‘zli igna;
;большая игла с широким ушком для вышивания пряжей;большая игла с широким ушком для вышивания пряжей;tapestry needle;du?a ig?a z szerokim uszkiem do haftowania prz?dz?;иірімжіппен кестелеуге арнал?ан ке? к?зі ине;gro?e Nadel mit breitem Nadel?hr f?r Sticken mit Fasergarn;grande aiguille avec un ?il large pour fils ? broder;aguja grande de ojo grande para bordar con hilado;ago grosso a larga cruna per ricamo con filato;вялікая іголка з шырокім вушкам для вышывання прадзівам;велика голка з широким вушком для вишивання пряжею;;жип сайма ?ч?н чо? к?з? бар чо? ийне;kalava bilan kashta tikish uchun katta ko’zli katta igna;
;большая игла с широким ушком;большая игла с широким ушком;tapestry needle;;ке? к?зі ине;;grande aiguille avec un ?il large;;;вялікая іголка з шырокім вушкам;;;чо? к?з? бар чо? ийне;katta ko’zli katta igna;
;швейная игла;швейная игла;sewing needle;ig?a do szycia;тігін ине;N?hnadel;l’aiguille ? coudre;aguja de coser;aghi per saldatura;швейная iголка;швейнi голка;;тиг??ч? ийне;tikuv igna;
;длинная игла;длинная игла;doll needle;d?uga ig?a;?зын ине;Lange Nadel;aiguille longue;aguja larga;ago lungo;доўгая іголка;довга голка;;узун ийне;uzun igna;
http://woolla.ru/images/gamma/b/e/g54364974902.jpg;2 деревянные иглы;2 деревянные иглы;2 wooden needles;2 drewniane ig?y;2 а?аш инелер;2 Holznadeln;2 aiguilles en bois;2 agujas de madera;2 aghi di legno;2 драўляныя іголкі;2 дерев'яних голки ;;2 жыгач ийнелер;2 dona yog'och ignalar;
Ткань, канва;;;;;;;;;;;;;;;
;канва;канва;embroidery fabric;kanwa;селдір мата;Stramin;canevas;ca?amazo;canovaccio;канва;канва;;канва;kanva;
;канва Gamma K04;канва аппретированная Gamma K04;Gamma aida K04 fabric;wzmocniona kanwa Gamma K04;аппретирленген селдір мата Gamma K04;appretierter Stramin Gamma K04;canevas appr?t? Gamma K04;ca?amazo tupido Gamma K04;canovaccio apprettato Gamma K04;канва Gamma K04;канва аппретована Gamma K04;;си?ирилген канва-торчо Gamma K04;tugallangan to‘quv kanva Gamma K04;
;канва Gamma K16;канва аппретированная Gamma K16;Gamma aida K04 fabric;wzmocniona kanwa Gamma K04;аппретирленген селдір мата Gamma K16;appretierter Stramin Gamma K16;canevas appr?t? Gamma K16;ca?amazo tupido Gamma K16;canovaccio apprettato Gamma K16;канва Gamma K16;канва аппретована Gamma K16;;си?ирилген канва-торчо Gamma K16;tugallangan to‘quv kanva Gamma K16;
;канва Gamma K04 с обработанными от осыпания краями;канва аппретированная Gamma K04 с обработанными от осыпания краями;Gamma aida K04 fabric with finished edges;wzmocniona kanwa Gamma K04 z obrobionymi brzegami przed strz?pieniem si?;шеті сетінемес ?шін ??делген аппретирленген селдір мата Gamma K04;appretierter Stramin Gamma K04 mit Randbearbeitung gegen Ausfransen;canevas appr?t? Gamma K04 ? bords trait?s contre l’effilochement;ca?amazo aprestado Gamma K04 con bordes tratados contra deshilachar;canovaccio vestito Gamma K04 con i bordi lavorati contro lo sfilacciamento;канва Gamma K04 з апрацаванымі ад абсыпання краямі;канва апретована Gamma K04  з обробленими від обсипання краями;;четтери чыкпаган си?ирилген канва-торчо Gamma K04;to‘kilishiga qarshi qirralar bilan tugallangan to‘quv kanva Gamma K04;
;канва Gamma K04 с напечатанным фоном;канва аппретированная Gamma K04 с напечатанным фоном;Gamma aida K04 fabric with a printed background;wzmocniona kanwa Gamma K04 z nadrukowanym t?em;басыл?ан фоны бар селдір мата Gamma K04;appretierter Stramin Gamma K04 mit bedrucktem Hintergrund;canevas appr?t? Gamma K04 avec fond imprim?;ca?amazo tupido Gamma K04 con fondo impreso;canovaccio apprettato Gamma K04 con lo sfondo stampato;канва Gamma K04 з надрукаваным фонам;канва апретована Gamma K04 з надрукаваным малюнкам;;басылган фон? менен си?ирилген канва-торчо Gamma К04;bosilgan foni bilan tugallangan to‘quv kanva Gamma K04;
;канва Gamma K04R разлинованная;канва аппретированная Gamma K04R разлинованная;Gamma grid-lined aida K04R fabric;wzmocniona kanwa Gamma K04 poliniowana;аппретирленген селдір мата Gamma K04R, сызы?тар;appretierter Stramin Gamma K04R, liniert;canevas appr?t? Gamma K04 ? lignes;ca?amazo tupido Gamma K04 con l?neas;canovaccio apprettato Gamma K04R vergato;канва Gamma K04R разлінаваная;канва апретована Gamma K04R розлініяна;;си?ирилген канва-торчо Gamma K04R, сызыктар;tugallangan to‘quv kanva Gamma K04R, chiziqlar;
;страмин Gamma K06R;страмин Gamma K06R;Gamma K06R canvas;kanwa stramin Gamma K06R;страмин Gamma K06R;spezieller Stramin Gamma K06R;canevas stramin Gamma K06R;ca?amazo stramin Gamma K06R;canovaccio stramin Gamma K06R;страмін Gamma K06R;канва страмін Gamma K06R;;страмин Gamma K06R;stramin Gamma K06R;
